day1,day2,day3,day4,day5
[34 'Dumbbell V-Sit Cross Jab'],[165 'Kneeling Cable Crunch With Alternating Oblique Twists'],[2 'Landmine twist'],[343 'Crunch - Hands Overhead'],[215 'Ab bicycle']
[236 'Clam'],[61 'Hip Circles (Prone)'],[235 'Standing Hip Circles'],[61 'Hip Circles (Prone)'],[61 'Hip Circles (Prone)']
[251 'Groiners'],[251 'Groiners'],[251 'Groiners'],[326 'Band Hip Adductions'],[326 'Band Hip Adductions']
[268 'Dumbbell Alternate Bicep Curl'],[306 'Reverse Cable Curl'],[104 'Biceps curl to shoulder press'],[145 'Machine Bicep Curl'],[268 'Dumbbell Alternate Bicep Curl']
[151 'Standing Calf Raises'],[302 'Rocking Standing Calf Raise'],[52 'Smith Machine Calf Raise'],[261 'Seated Calf Raise'],[383 'Calf Press']
[416 'Decline Smith Press'],[451 'Smith machine bench press'],[416 'Decline Smith Press'],[416 'Decline Smith Press'],[85 'Incline dumbbell bench press']
[10 'Straight-bar wrist roll-up'],[323 'Palms-Up Dumbbell Wrist Curl Over A Bench'],[98 'Wrist Roller'],[332 'Standing Olympic Plate Hand Squeeze'],[347 'Standing Olympic Plate Hand Squeeze']
[324 'Kettlebell thruster'],[283 'Step-up with knee raise'],[283 'Step-up with knee raise'],[283 'Step-up with knee raise'],[283 'Step-up with knee raise']
[297 'Power clean'],[201 'Lying Leg Curls'],[401 'Glute Ham Raise'],[460 'Band Good Morning (Pull Through)'],[59 'Power Clean from Blocks']
[3 'Weighted pull-up'],[361 'Reverse-grip lat pull-down'],[187 'Pull-up'],[425 'Side To Side Chins'],[285 'Rope climb']
[79 'Back extension'],[447 'Superman'],[367 'Rack Pull with Bands'],[321 'Deadlift with Chains'],[246 'Hyperextensions With No Hyperextension Bench']
[153 'One-Arm Long Bar Row'],[153 'One-Arm Long Bar Row'],[466 'Yates Row Reverse Grip'],[466 'Yates Row Reverse Grip'],[113 'One-Arm Dumbbell Row']
[431 'Lying Face Up Plate Neck Resistance'],[431 'Lying Face Up Plate Neck Resistance'],[431 'Lying Face Up Plate Neck Resistance'],[44 'Lying Face Down Plate Neck Resistance'],[431 'Lying Face Up Plate Neck Resistance']
[433 'Jog In Place'],[432 'Weighted sissy squat'],[56 'Barbell walking lunge'],[237 'Narrow Stance Hack Squats'],[258 'Burpee']
[296 'Barbell Shoulder Press'],[49 'Seated barbell shoulder press'],[452 'Seated Side Lateral Raise'],[73 'Seated Dumbbell Press'],[118 'Single-arm incline rear delt raise']
[277 'Standing dumbbell upright row'],[277 'Standing dumbbell upright row'],[51 'Smith machine shrug'],[277 'Standing dumbbell upright row'],[300 'Calf-Machine Shoulder Shrug']
[169 'Single-arm cable triceps extension'],[164 'Kneeling cable triceps extension'],[194 'Incline EZ-bar skullcrusher'],[370 'Single-arm dumbbell triceps extension'],[43 'Dumbbell floor press']
